n,2n,closest_value,d(n)
48699005,97398010,97601618,203608
48696733,97393466,97597061,203595
48695167,97390334,97593923,203589
48694255,97388510,97592096,203586
48692905,97385810,97589393,203583
48691369,97382738,97586308,203570
48689975,97379950,97583518,203568
48688211,97376422,97579978,203556
48685793,97371586,97575136,203550
48683487,97366974,97570516,203542
48679443,97358886,97562423,203537
48678379,97356758,97560286,203528
48676791,97353582,97557098,203516
48675591,97351182,97554698,203516
48672603,97345206,97548700,203494
48670143,97340286,97543760,203474
48668831,97337662,97541132,203470
48665307,97330614,97534084,203470
48663689,97327378,97530844,203466
48662223,97324446,97527908,203462
48661951,97323902,97527352,203450
48661735,97323470,97526920,203450
48661531,97323062,97526504,203442
48661287,97322574,97526015,203441
48659113,97318226,97521656,203430
48657439,97314878,97518305,203427
48655207,97310414,97513834,203420
48654847,97309694,97513109,203415
48651433,97302866,97506271,203405
48648671,97297342,97500733,203391
48644511,97289022,97492408,203386
48644065,97288130,97491514,203384
48643583,97287166,97490531,203365
48641535,97283070,97486432,203362
48639999,97279998,97483348,203350
48637567,97275134,97478477,203343
48637375,97274750,97478093,203343
48632575,97265150,97468486,203336
48631977,97263954,97467290,203336
48629727,97259454,97462765,203311
48628763,97257526,97460833,203307
48627803,97255606,97458911,203305
48627303,97254606,97457908,203302
48625529,97251058,97454357,203299
48622207,97244414,97447693,203279
48621183,97242366,97445641,203275
48617191,97234382,97437644,203262
48616937,97233874,97437136,203262
48613291,97226582,97429828,203246
48612199,97224398,97427636,203238
48610281,97220562,97423793,203231
48607659,97215318,97418548,203230
48606767,97213534,97416749,203215
48606055,97212110,97415320,203210
48602879,97205758,97408952,203194
48599179,97198358,97401550,203192
48594601,97189202,97392374,203172
48593119,97186238,97389404,203166
48593005,97186010,97389173,203163
48590087,97180174,97383323,203149
48588863,97177726,97380869,203143
48587117,97174234,97377376,203142
48586521,97173042,97376182,203140
48585207,97170414,97373539,203125
48581895,97163790,97366912,203122
48580225,97160450,97363556,203106
48579739,97159478,97362584,203106
48578207,97156414,97359515,203101
48577695,97155390,97358483,203093
48577673,97155346,97358438,203092
48576425,97152850,97355938,203088
48575167,97150334,97353418,203084
48572029,97144058,97347136,203078
48569583,97139166,97342226,203060
48566431,97132862,97335916,203054
48565225,97130450,97333490,203040
48562203,97124406,97327433,203027
48560255,97120510,97323532,203022
48557267,97114534,97317548,203014
48556599,97113198,97316206,203008
48554857,97109714,97312718,203004
48554209,97108418,97311419,203001
48553471,97106942,97309934,202992
48551791,97103582,97306568,202986
48550759,97101518,97304500,202982
48549545,97099090,97302068,202978
48545903,97091806,97294769,202963
48544223,97088446,97291408,202962
48543497,97086994,97289947,202953
48542811,97085622,97288570,202948
48538471,97076942,97279882,202940
48537511,97075022,97277950,202928
48537339,97074678,97277606,202928
48535741,97071482,97274410,202928
48534395,97068790,97271705,202915
48533993,97067986,97270900,202914
48532281,97064562,97267468,202906
48529407,97058814,97261702,202888
48528831,97057662,97260550,202888
48526647,97053294,97256176,202882
48524775,97049550,97252427,202877
48524415,97048830,97251698,202868
48523375,97046750,97249612,202862
48521209,97042418,97245274,202856
48519963,97039926,97242776,202850
48517375,97034750,97237597,202847
48516975,97033950,97236794,202844
48514463,97028926,97231765,202839
48513323,97026646,97229474,202828
48513055,97026110,97228930,202820
48510175,97020350,97223165,202815
48509305,97018610,97221424,202814
48507785,97015570,97218368,202798
48506727,97013454,97216247,202793
48504319,97008638,97211423,202785
48501895,97003790,97206571,202781
48501223,97002446,97205219,202773
48499873,96999746,97202518,202772
48499867,96999734,97202504,202770
48496159,96992318,97195069,202751
48494239,96988478,97191218,202740
48492201,96984402,97187141,202739
48491839,96983678,97186409,202731
48488427,96976854,97179578,202724
48487079,96974158,97176874,202716
48484535,96969070,97171778,202708
48482815,96965630,97168331,202701
48480751,96961502,97164197,202695
48480255,96960510,97163192,202682
48476157,96952314,97154984,202670
48475455,96950910,97153580,202670
48474793,96949586,97152247,202661
48470611,96941222,97143875,202653
48469787,96939574,97142218,202644
48468647,96937294,97139930,202636
48466655,96933310,97135946,202636
48463295,96926590,97129201,202611
48461567,96923134,97125737,202603
48458879,96917758,97120352,202594
48455791,96911582,97114162,202580
48452321,96904642,97107212,202570
48449371,96898742,97101296,202554
48444159,96888318,97090852,202534
48443503,96887006,97089536,202530
48439463,96878926,97081438,202512
48437695,96875390,97077895,202505
48436839,96873678,97076182,202504
48432823,96865646,97068142,202496
48432111,96864222,97066714,202492
48432087,96864174,97066660,202486
48430247,96860494,97062974,202480
48428271,96856542,97059007,202465
48426239,96852478,97054937,202459
48425119,96850238,97052692,202454
48424359,96848718,97051169,202451
48420443,96840886,97043324,202438
